,contrast,dissimilarity,homogeneity,energy,correlation,ASM
img_361.jpg,307.9781755346896,6.328188575899842,0.42593017975389647,0.20933687449582355,0.9755219158280006,0.04382192702368018
img_362.jpg,280.85129434011475,5.901274778299426,0.4323998832792007,0.20988973287906834,0.9774063096079176,0.04405369996804666
img_363.jpg,287.50776930099113,6.178596113719354,0.42488844483605803,0.20938117518302726,0.9770510008915216,0.04384047652102555
img_364.jpg,258.0620565988524,5.858170318205529,0.42204009158415773,0.2092426085713855,0.9788553158161276,0.04378246924175805
img_365.jpg,261.0711169796557,5.736427360459051,0.43431677998486573,0.20933447895884766,0.9748465502636813,0.04382092408097223
img_366.jpg,281.5886443661972,6.0800436880542525,0.42675101910186497,0.20905895977070324,0.9733615035923573,0.04370564866040852
img_367.jpg,277.54084181012,6.155063249869587,0.42541447454920506,0.2090349089736373,0.973500651358007,0.04369559316961683
img_368.jpg,263.3553729786124,5.9853808033385505,0.4275574677614477,0.2090631831560274,0.9747352906281413,0.04370741455133066
img_369.jpg,275.504244913928,6.43910406885759,0.42267844785924297,0.20920690358021865,0.9744990158973678,0.0437675285056229
img_370.jpg,298.0049523995827,6.58552099634846,0.4165295961689223,0.20913493782218398,0.9732452172169819,0.04373742221788876
img_371.jpg,330.0185022170057,6.905024126238915,0.40973015231692145,0.20907603658934268,0.9710157524222578,0.04371278907590816
img_372.jpg,421.1293068596766,7.981849895670318,0.37870654421223243,0.20890903607049774,0.9603895182109049,0.04364298535190452
img_373.jpg,454.27205268648936,8.734670057381326,0.36284452136995987,0.2087610929860626,0.9571088739965009,0.043581193944735475
img_374.jpg,453.44183946270215,9.010168883672405,0.3668290548536669,0.20901971550171003,0.9600150050554236,0.043689241468415796
img_375.jpg,410.41632759520087,8.733450704225351,0.36619515627376575,0.20889312471530688,0.9644959137753711,0.04363633755332476
img_376.jpg,396.48741523213357,8.495422535211267,0.3763529321432237,0.20898008365466395,0.9655501915160616,0.04367267536431034
img_377.jpg,340.5019887845592,7.713901930099113,0.3885476926260569,0.2089764440461007,0.9707011804707569,0.04367115416615305
img_378.jpg,299.76821857068336,7.041131977047469,0.4007743658788044,0.20907419385992856,0.9740518768663166,0.04371201853817899
img_379.jpg,279.78914971309337,6.631396713615024,0.4100664725349258,0.20968348452090402,0.9753958652509599,0.04396716368082819
img_380.jpg,146.58115871152842,5.179443792383934,0.43133379470067523,0.21067568740184012,0.9863320044396293,0.04438424526223786
img_381.jpg,132.55729329681796,4.817967527386541,0.44192449163747316,0.21077196319094843,0.9885244330783226,0.04442482046736652
