,contrast,dissimilarity,homogeneity,energy,correlation,ASM,intensity
img_109.jpg,370.80805294731357,4.242325247782993,0.8069445722150416,0.6782387229955249,0.9686462920934219,0.4600077653706004,69.81405241498808
img_110.jpg,375.60436880542517,4.230294731351069,0.816069088708235,0.6905290777976482,0.9686251963737837,0.4768304072840704,70.87115659519168
img_111.jpg,375.61368348982785,4.348581768388106,0.8105558238880304,0.6881010308603454,0.9680645897594882,0.47348302867107,70.09846112194066
img_112.jpg,377.74694509650493,4.313318335941575,0.8189198061120426,0.7003185919318403,0.9675575578964788,0.4904461302053954,69.6954700021659
img_113.jpg,381.4920872456964,4.3226819248826285,0.8211442750076308,0.7067751589243876,0.9672369342420427,0.49953112527259325,69.79314598223955
img_114.jpg,407.55336463223796,4.430346896191966,0.8340315222285668,0.7340307580593578,0.9657459176383629,0.5388011537771955,70.96875243664718
img_115.jpg,397.86322378716744,4.319346635367762,0.8356855441298372,0.7380825745607021,0.966835856402708,0.5447658868701545,70.70233918128655
img_116.jpg,403.6783352895149,4.432436750130411,0.8337932803052672,0.7427429814789911,0.9662284902824673,0.551667136536301,69.61969568984189
img_117.jpg,383.3491197183098,4.207818205529474,0.8362189580689449,0.7447143407492238,0.9687620713403136,0.554599449317551,70.54793805501407
img_118.jpg,376.8024452269171,4.168283776734481,0.8313904583539421,0.7402232818173131,0.9692817694712003,0.5479305069443934,70.00121182586095
img_119.jpg,369.0225254303599,4.132658450704225,0.8292288762241341,0.7373877680344043,0.9696165657584259,0.5437407204467605,69.37913580246914
img_120.jpg,387.96831637976,4.277021387584767,0.8247244067188773,0.7304854535629102,0.9685009180698356,0.5336089978670105,70.75747455057396
img_121.jpg,392.4078279864371,4.279137323943662,0.8296509061183639,0.7376089973709388,0.9678596944611805,0.5440670330025615,70.88653996101364
img_122.jpg,363.51679381846634,4.028159233176839,0.8334884616702023,0.7426105806225737,0.9695159785827545,0.551470474452596,69.18298895386614
img_123.jpg,377.6242957746479,4.127582159624412,0.8362511174721042,0.7458829573832784,0.9685336284818433,0.5563413861148255,69.5767738791423
img_124.jpg,367.7831246739697,3.9931338028169012,0.8423707813861235,0.7542461543645713,0.9696834813544253,0.5688872613737448,69.96431340697423
img_125.jpg,377.51504303599376,3.9759911319770476,0.8470554923114787,0.7603208484193689,0.9694571381004802,0.5780877925411488,70.00850444011263
img_126.jpg,374.2604003651539,3.9518192488262907,0.8476547598407349,0.7639667086949031,0.9696446543614753,0.583645131994123,69.15040827377085
img_127.jpg,378.27866131977044,3.8629597026604072,0.8565660018308,0.7754410956265185,0.9697127539322353,0.6013088927864555,69.56991011479316
img_128.jpg,369.6097613458529,3.706383672404799,0.8613199924490388,0.7811539334574632,0.9704546501384774,0.6102014677560669,69.01230777561187
img_129.jpg,370.75802360459045,3.653420057381325,0.8654631329746887,0.7855660736246134,0.9707492372257661,0.6171140560299916,69.50751028806584
img_130.jpg,375.69231220657275,3.5618088158581114,0.8721412772001452,0.7923031975104821,0.9706738672532146,0.627744356785334,69.75247346761967
img_131.jpg,365.5646322378717,3.4608633281168486,0.8749487190374353,0.796510248229121,0.9712032625703089,0.634428575534016,68.92931773879143
img_132.jpg,362.4003325508607,3.407237871674491,0.8752556832567564,0.7963717270796533,0.971775670415853,0.6342079276918299,69.01560970327053
img_133.jpg,355.8386313249869,3.2989469222743875,0.8777023707124657,0.799801950969457,0.9726818906527129,0.6396831607745498,69.0844985921594
img_134.jpg,353.96485719874795,3.247068988002087,0.8786883723652513,0.7999003511556954,0.9734287709908702,0.6398405717790048,69.11659952350011
img_135.jpg,375.657616066771,3.3797339593114244,0.8800200961521492,0.7995045778256608,0.9721951939695616,0.639207569964188,69.6341867013212
img_136.jpg,366.78750978090767,3.326092201356286,0.8804428944150485,0.8009921326005406,0.9726845239201783,0.6415883964879621,68.68204570067144
img_137.jpg,358.949360980699,3.2382368283776732,0.8823524392470733,0.7995861682819573,0.9734780102243008,0.6393380405078225,68.64895711500975
img_138.jpg,365.678195096505,3.3422535211267603,0.8757915305177206,0.7940843053791952,0.9729310080771272,0.6305698840495589,68.1738574832142
img_139.jpg,359.68170644235784,3.2820194314032336,0.8745895047013907,0.7894571261162825,0.973786905988203,0.62324255397578,68.88868637643492
img_140.jpg,370.7924850026082,3.415737480438185,0.8736007643002461,0.7860814709329557,0.97313805296482,0.6179240789441193,68.92945743989604
img_141.jpg,409.1033711528429,4.207316118935837,0.8471997895486361,0.7632800013476363,0.9696936213866686,0.5825963604572477,68.68376434914447
img_142.jpg,453.311309989567,6.204443792383934,0.7346010308974162,0.6456652045446056,0.9664385881699324,0.4168835563596275,68.20351635260992
img_143.jpg,440.9300730307772,6.633581116327594,0.6803810557685817,0.5854534760028425,0.9666376720340958,0.34275577256381085,68.92475308641976
img_144.jpg,395.1337897756912,6.3661776212832555,0.6941564627330786,0.6063502249921937,0.9715180790209713,0.367660595348084,67.98962962962963
img_145.jpg,379.12592592592586,4.9945487741262395,0.8015982798061447,0.7271436510484407,0.9741201538591123,0.5287378892600565,65.22140675763482
img_146.jpg,346.7467527386542,3.698702399582681,0.8530609340210706,0.7769425842204383,0.975864393221406,0.6036397791751329,67.89546242148582
img_147.jpg,301.97898082942095,2.791591679707877,0.8850115233801734,0.8078250243271581,0.9782748408142914,0.6525812699291735,67.43222547108512
img_148.jpg,283.68543296817944,2.3379955659885234,0.8961796297461558,0.8161941066660716,0.9794512783661863,0.6661728197564266,68.91255468919212
img_149.jpg,265.7028397235264,2.1986013302034424,0.8950085991080189,0.8211794751866437,0.9803976994467087,0.6743357304678116,67.8180658436214
img_150.jpg,270.6416471048513,2.2975612936880547,0.8912014481295877,0.8146171067821265,0.980228842918261,0.6636010306620825,68.54701212908816
img_151.jpg,273.58642083985393,2.320164971309337,0.8909688517035961,0.8151135086664254,0.9799375852482418,0.6644100320104908,67.64655837123674
img_152.jpg,279.0223917579551,2.3803468961919663,0.8888057840249477,0.8117753596522962,0.9797689115399497,0.6589792345386148,68.15086744639376
img_153.jpg,289.75332224830464,2.62440988523735,0.8765997743164033,0.7975792018144454,0.9790873388097139,0.6361325831669679,68.59660710418021
img_154.jpg,301.26968570683357,2.5804251434533128,0.8836837169278099,0.8038511558871925,0.9784030497994671,0.6461766808211754,69.05125189517003
